time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
11.468882,0.0,300,,,
11.504179,0.035296198,300,,,
11.538197,0.0340178,300,,,
11.572666,0.034469802,300,,,
11.607098,0.0344316,300,,,
11.641,0.0339023,300,,,
11.675364,0.0343624,300,,,
11.708713,0.0333476,300,,,
11.744261,0.0355482,300,,,
11.780129,0.0358686,300,,,
11.814381,0.0342508,300,,,
11.850668,0.036287703,300,,,
11.884998,0.034330398,300,,,
11.920949,0.0359496,300,,,
11.954748,0.0337993,300,,,
11.989023,0.0342751,300,,,
12.024136,0.0351119,300,,,
12.059339,0.0352046,300,,,
12.094529,0.0351902,300,,,
12.130361,0.035832,300,,,
12.165089,0.034726802,300,,,
12.200086,0.034996998,300,,,
12.235323,0.0352384,300,,,
12.269263,0.0339396,300,,,
12.304601,0.035339803,300,,,
12.339124,0.0345232,300,,,
12.373952,0.0348284,300,,,
12.409082,0.0351309,300,,,
12.444288,0.0352051,300,,,
12.480095,0.0358066,300,,,
12.515079,0.034983803,300,3,,
12.548757,0.0336775,300,3,,
12.582428,0.033671398,300,3,,
12.618211,0.0357842,300,3,,
12.651704,0.0334923,300,3,,
12.686267,0.034564,300,3,,
12.720599,0.0343313,300,3,,
12.756576,0.0359761,300,3,,
12.791836,0.0352607,300,3,,
12.827586,0.0357505,300,3,,
12.863024,0.0354365,300,3,,
12.900326,0.0373012,300,3,,
12.935534,0.0352091,300,3,,
12.970892,0.0353576,300,3,,
13.006358,0.0354639,300,3,,
13.041387,0.035029,300,3,,
13.07721,0.0358232,300,3,,
13.112728,0.0355158,300,3,,
13.147945,0.0352166,300,3,,
13.181334,0.0333884,300,3,,
13.21517,0.033835802,300,3,,
13.249635,0.0344657,300,3,,
13.284779,0.035143897,300,3,,
13.31879,0.034011602,300,3,,
13.353065,0.034276098,300,3,,
13.388061,0.034995902,300,3,,
13.422889,0.034828797,300,3,,
13.457064,0.034174003,300,3,,
13.492827,0.035763297,300,3,,
13.528586,0.035759702,300,3,,
13.563806,0.0352219,300,3,,
13.598644,0.034836598,300,3,,
13.632033,0.0333874,300,3,,
13.665721,0.0336883,300,3,,
13.700518,0.034796603,300,3,,
13.733867,0.033349697,300,3,,
13.76829,0.0344237,300,3,,
13.801964,0.0336753,300,3,,
13.836918,0.034954,300,3,,
13.871771,0.034853697,300,3,,
13.905924,0.034152802,300,3,,
13.940093,0.0341695,300,3,,
13.973996,0.0339031,300,3,,
14.008336,0.034340803,300,3,,
14.042427,0.0340911,300,3,,
14.078715,0.036287498,300,3,,
14.113957,0.0352444,300,3,,
14.14748,0.033521798,300,3,,
14.183497,0.0360181,300,3,,
14.21909,0.0355932,300,3,,
14.255039,0.035946302,300,3,,
14.289314,0.034275997,300,3,,
14.322891,0.0335772,300,3,,
14.357,0.034107603,300,3,,
14.391251,0.03425,300,3,,
14.426736,0.0354863,300,3,,
14.4627285,0.035991702,300,3,,
14.496107,0.033379998,300,3,,
14.53014,0.0340323,300,3,,
14.566154,0.0360125,300,3,,
14.601322,0.0351679,300,3,,
14.637332,0.0360108,300,3,,
14.67253,0.035198,300,3,,
14.707412,0.0348804,300,3,,
14.74346,0.0360478,300,3,,
14.776938,0.0334786,300,3,,
14.8122,0.035261597,300,3,,
14.848041,0.035840303,300,3,,
