time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
5.8184853,0.0,300,,,
5.8525286,0.0340433,300,,,
5.886765,0.0342365,300,,,
5.9221463,0.0353804,300,,,
5.956171,0.034025002,300,,,
5.989879,0.0337073,300,,,
6.02336,0.0334813,300,,,
6.058753,0.0353936,300,,,
6.092622,0.0338676,300,,,
6.1283836,0.035761498,300,,,
6.162316,0.033932302,300,,,
6.1983657,0.0360489,300,,,
6.232249,0.0338824,300,,,
6.265767,0.033519503,300,,,
6.3009048,0.035137698,300,,,
6.3349442,0.0340397,300,,,
6.368528,0.033584103,300,,,
6.403988,0.0354594,300,,,
6.4393063,0.0353183,300,,,
6.473712,0.0344057,300,,,
6.5083656,0.0346536,300,,,
6.544018,0.035652097,300,,,
6.5776706,0.0336533,300,,,
6.6112866,0.0336161,300,,,
6.6472917,0.0360053,300,,,
6.680956,0.033664104,300,,,
6.714529,0.0335733,300,,,
6.7484393,0.033910997,300,,,
6.7825737,0.0341345,300,,,
6.8180823,0.035509102,300,,,
6.8541536,0.0360709,300,3,,
6.8891625,0.0350089,300,3,,
6.9235263,0.034363702,300,3,,
6.957587,0.0340602,300,3,,
6.992039,0.0344518,300,3,,
7.026619,0.03458,300,3,,
7.0600424,0.033424,300,3,,
7.094419,0.0343754,300,3,,
7.130479,0.0360594,300,3,,
7.1654367,0.0349574,300,3,,
7.1991243,0.0336875,300,3,,
7.2326503,0.033525903,300,3,,
7.2671266,0.0344758,300,3,,
7.3007164,0.0335898,300,3,,
7.334352,0.0336355,300,3,,
7.3703084,0.035956297,300,3,,
7.4042583,0.033948902,300,3,,
7.4397597,0.0355014,300,3,,
7.4747386,0.0349784,300,3,,
7.5097413,0.035002902,300,3,,
7.544031,0.034288798,300,3,,
7.5783563,0.0343255,300,3,,
7.6128335,0.0344772,300,3,,
7.6472907,0.0344576,300,3,,
7.680923,0.033632,300,3,,
7.7152796,0.0343565,300,3,,
7.7492113,0.0339318,300,3,,
7.7841206,0.034909002,300,3,,
7.8198156,0.0356945,300,3,,
7.855666,0.0358503,300,3,,
7.8894954,0.033829,300,3,,
7.9231167,0.033621,300,3,,
7.957666,0.0345486,300,3,,
7.992116,0.0344502,300,3,,
8.025878,0.0337626,300,3,,
8.060584,0.034708202,300,3,,
8.09417,0.0335847,300,3,,
8.128013,0.0338439,300,3,,
8.162266,0.034253098,300,3,,
8.198456,0.036191102,300,3,,
8.232274,0.0338183,300,3,,
8.267414,0.035141297,300,3,,
8.301834,0.034419,300,3,,
8.335355,0.033521302,300,3,,
8.369315,0.0339605,300,3,,
8.404247,0.0349321,300,3,,
8.439133,0.0348868,300,3,,
8.473249,0.0341148,300,3,,
8.509201,0.0359516,300,3,,
8.543707,0.034505103,300,3,,
8.578418,0.0347117,300,3,,
8.614321,0.0359022,300,3,,
8.649495,0.0351731,300,3,,
8.68453,0.0350344,300,3,,
8.7201185,0.0355889,300,3,,
8.7540045,0.0338839,300,3,,
8.789193,0.0351868,300,3,,
8.823828,0.0346345,300,3,,
8.858363,0.0345373,300,3,,
8.892741,0.0343774,300,3,,
8.928452,0.035710197,300,3,,
8.962757,0.0343054,300,3,,
8.998018,0.035261,300,3,,
9.032829,0.034811597,300,3,,
9.067219,0.0343885,300,3,,
9.10118,0.0339618,300,3,,
9.136156,0.034977302,300,3,,
9.170459,0.034304,300,3,,
9.20629,0.0358303,300,3,,
9.240282,0.0339921,300,3,,
9.275706,0.035423398,300,3,,
9.310984,0.0352776,300,3,,
9.34453,0.033547398,300,3,,
9.380286,0.035757102,300,3,,
9.414157,0.0338717,300,3,,
9.448516,0.0343596,300,3,,
9.481951,0.033434298,300,3,,
9.515798,0.033848703,300,3,,
9.551041,0.035243697,300,3,,
9.58663,0.0355894,300,3,,
9.621125,0.0344969,300,3,,
9.656785,0.0356598,300,3,,
9.692561,0.0357751,300,3,,
9.727263,0.0347015,300,3,,
9.763117,0.035853602,300,3,,
9.798018,0.034902297,300,3,,
9.834086,0.036068603,300,0,,
9.868164,0.034077,300,0,,
9.90177,0.033604197,300,0,,
9.936888,0.0351179,300,0,,
9.975727,0.0388393,300,0,,
10.010094,0.0343659,300,0,,
10.046311,0.0362197,300,0,,
10.082909,0.0365978,300,0,,
10.118269,0.0353578,300,0,,
10.154334,0.0360652,300,0,,
