time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
3.8659327,0.0,300,,,
3.9015465,0.035613697,300,,,
3.9365566,0.0350102,300,,,
3.971058,0.0345016,300,,,
4.0055556,0.0344975,300,,,
4.0392466,0.0336912,300,,,
4.075113,0.035865698,300,,,
4.11044,0.0353268,300,,,
4.1440372,0.0335987,300,,,
4.17965,0.0356125,300,,,
4.2157674,0.0361175,300,,,
4.250295,0.0345283,300,,,
4.283988,0.0336929,300,,,
4.3187103,0.034722798,300,,,
4.3538303,0.0351204,300,,,
4.38935,0.0355188,300,,,
4.4231615,0.0338105,300,,,
4.4577446,0.0345839,300,,,
4.4938173,0.0360727,300,,,
4.5288897,0.0350722,300,,,
4.5638657,0.0349758,300,,,
4.598349,0.0344833,300,,,
4.6331296,0.0347803,300,,,
4.6666336,0.0335055,300,,,
4.7008905,0.0342575,300,,,
4.734635,0.0337451,300,,,
4.769677,0.0350419,300,,,
4.8037724,0.0340952,300,,,
4.8396244,0.0358524,300,,,
4.8749194,0.0352955,300,3,,
4.9107013,0.035782,300,3,,
4.944627,0.0339263,300,3,,
4.978,0.033374,300,3,,
5.0130367,0.0350375,300,3,,
5.04802,0.0349826,300,3,,
5.082412,0.0343918,300,3,,
5.1172266,0.034814898,300,3,,
5.152082,0.034855,300,3,,
5.1856065,0.033524003,300,3,,
5.219969,0.0343631,300,3,,
5.253798,0.033828698,300,3,,
5.288404,0.0346065,300,3,,
5.3230677,0.0346632,300,3,,
5.3571253,0.0340571,300,3,,
5.391606,0.0344809,300,3,,
5.427027,0.0354221,300,3,,
5.460615,0.033588298,300,3,,
5.4954495,0.034835003,300,3,,
5.529503,0.0340531,300,3,,
5.5629296,0.0334263,300,3,,
5.5964055,0.0334753,300,3,,
5.6311812,0.0347759,300,3,,
5.664764,0.0335827,300,3,,
5.7000313,0.0352668,300,3,,
5.734367,0.0343351,300,3,,
5.769239,0.0348716,300,3,,
5.802806,0.0335667,300,3,,
5.8364897,0.033683203,300,3,,
5.8709483,0.034458697,300,3,,
5.9062862,0.0353382,300,3,,
5.939638,0.0333509,300,3,,
5.975059,0.035420902,300,3,,
6.009642,0.0345832,300,3,,
6.043922,0.03428,300,3,,
6.077763,0.033840403,300,3,,
6.1132736,0.0355099,300,3,,
6.147226,0.033951897,300,3,,
6.181548,0.034321602,300,3,,
6.215503,0.0339548,300,3,,
6.2491093,0.0336057,300,3,,
6.282654,0.033544403,300,3,,
6.3171163,0.0344622,300,3,,
6.351209,0.034093402,300,3,,
6.3846226,0.0334135,300,3,,
6.4198093,0.035186898,300,3,,
6.4538326,0.0340223,300,3,,
6.4875083,0.0336751,300,3,,
6.522119,0.034610797,300,3,,
6.5562954,0.0341761,300,3,,
6.590488,0.0341921,300,3,,
6.625934,0.035445902,300,3,,
6.659917,0.0339823,300,3,,
6.694066,0.03415,300,3,,
6.727479,0.0334133,300,3,,
6.7617917,0.0343127,300,3,,
6.7964654,0.034673803,300,3,,
