time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
4.478729,0.0,300,,,
4.512519,0.0337902,300,,,
4.5474596,0.034941,300,,,
4.5821676,0.0347085,300,,,
4.61651,0.0343427,300,,,
4.6503973,0.0338877,300,,,
4.6840854,0.0336878,300,,,
4.718724,0.034637902,300,,,
4.752421,0.0336967,300,,,
4.787334,0.0349142,300,,,
4.821169,0.0338352,300,,,
4.857719,0.0365499,300,,,
4.893702,0.035983,300,,,
4.930277,0.0365749,300,,,
4.963911,0.0336342,300,,,
4.9979205,0.034009703,300,,,
5.032501,0.0345806,300,,,
5.0684943,0.0359924,300,,,
5.1028934,0.0343988,300,,,
5.139463,0.036569,300,,,
5.1755576,0.036094,300,,,
5.211435,0.0358765,300,,,
5.2482514,0.0368165,300,,,
5.2829347,0.034683198,300,,,
5.316863,0.033927802,300,,,
5.3533325,0.0364685,300,,,
5.3891625,0.0358301,300,,,
5.4249983,0.035835303,300,,,
5.45885,0.033850998,300,,,
5.493576,0.0347262,300,3,,
5.5280695,0.034493603,300,3,,
5.5631394,0.0350696,300,3,,
5.599635,0.0364954,300,3,,
5.6349416,0.0353061,300,3,,
5.669846,0.034904502,300,3,,
5.706013,0.036167398,300,3,,
5.741331,0.035318602,300,3,,
5.7772584,0.035926998,300,3,,
5.8113728,0.034114,300,3,,
5.847319,0.035946403,300,3,,
5.882755,0.035435997,300,3,,
5.919226,0.036471,300,3,,
5.955221,0.0359946,300,3,,
5.990581,0.0353609,300,3,,
6.025758,0.035177402,300,3,,
6.0614915,0.0357336,300,3,,
6.096164,0.034672298,300,3,,
6.129787,0.0336235,300,3,,
6.163255,0.0334678,300,3,,
6.1997843,0.0365296,300,3,,
6.2335267,0.0337423,300,3,,
6.2700715,0.036544997,300,3,,
6.306618,0.036546003,300,3,,
6.34125,0.034631897,300,3,,
6.3776107,0.036360502,300,3,,
6.4138026,0.0361919,300,3,,
6.4472427,0.0334402,300,3,,
6.4808707,0.0336267,300,3,,
6.515723,0.0348527,300,3,,
6.551844,0.0361216,300,3,,
6.586613,0.0347689,300,3,,
6.6204443,0.0338311,300,3,,
6.656678,0.0362343,300,3,,
6.6902194,0.0335408,300,3,,
6.724831,0.034612097,300,3,,
6.7598352,0.0350041,300,3,,
6.794883,0.0350478,300,3,,
6.8285108,0.0336283,300,3,,
6.8637447,0.0352342,300,3,,
6.898556,0.0348114,300,3,,
6.9322934,0.0337374,300,3,,
6.9670625,0.0347694,300,3,,
7.0014915,0.034428798,300,3,,
7.0350876,0.0335965,300,3,,
7.0722747,0.0371871,300,3,,
7.1059337,0.033659402,300,3,,
7.1423335,0.0364001,300,3,,
7.1785626,0.036228,300,3,,
7.2122817,0.03372,300,3,,
7.246327,0.034045197,300,3,,
7.2806015,0.0342739,300,3,,
7.317129,0.0365272,300,3,,
7.3506575,0.0335287,300,3,,
7.387123,0.036465798,300,3,,
7.4235954,0.0364719,300,3,,
7.457339,0.0337434,300,3,,
7.4938674,0.036528703,300,3,,
7.528777,0.034909397,300,3,,
7.562235,0.033458102,300,3,,
7.5978518,0.0356167,300,3,,
7.6313148,0.033463,300,3,,
7.665201,0.033886597,300,3,,
7.700304,0.035102703,300,3,,
7.735203,0.0348981,300,3,,
7.768672,0.0334682,300,3,,
7.804688,0.0360169,300,3,,
7.8402147,0.0355264,300,3,,
7.8754992,0.0352845,300,3,,
7.910276,0.0347762,300,3,,
7.944411,0.0341348,300,3,,
7.978178,0.033766698,300,3,,
8.011525,0.0333475,300,3,,
8.047247,0.0357205,300,3,,
8.082467,0.0352212,300,3,,
8.116134,0.0336657,300,3,,
8.150819,0.0346836,300,3,,
8.184812,0.033994596,300,3,,
8.218183,0.0333703,300,3,,
8.252059,0.0338758,300,3,,
8.287625,0.035565,300,3,,
8.322505,0.0348783,300,3,,
8.357591,0.035085402,300,3,,
8.391222,0.0336309,300,3,,
8.426804,0.035581097,300,3,,
8.460395,0.033591703,300,3,,
8.493956,0.0335604,300,3,,
8.5291815,0.0352248,300,0,,
8.564889,0.0357091,300,0,,
8.598589,0.0337014,300,0,,
8.632529,0.0339415,300,0,,
8.666934,0.0344048,300,0,,
8.701321,0.034387797,300,0,,
8.735565,0.034243703,300,0,,
8.773089,0.037525,300,0,,
8.807412,0.0343226,300,0,,
8.841032,0.0336189,300,0,,
8.87615,0.0351202,300,0,,
8.910026,0.033875898,300,0,,
8.944625,0.0345993,300,0,,
8.978014,0.033388402,300,0,,
9.013155,0.035141896,300,0,,
9.047168,0.034013104,300,0,,
9.082179,0.035013698,300,0,,
9.115747,0.0335678,300,0,,
9.149593,0.033844598,300,0,,
9.184462,0.0348667,300,0,,
9.219769,0.0353063,300,0,,
9.255218,0.035448197,300,0,,
9.289195,0.0339775,300,0,,
9.323089,0.0338941,300,0,,
9.35959,0.036501102,300,0,,
9.393064,0.0334748,300,0,,
9.42664,0.0335757,300,0,,
9.460865,0.0342247,300,0,,
9.495677,0.034812402,300,0,,
9.5299425,0.034265697,300,0,,
9.5637245,0.033782303,300,0,,
9.5992,0.035474997,300,0,,
9.634742,0.035542,300,0,,
9.672833,0.0380932,300,0,,
9.708833,0.0359994,300,0,,
9.744647,0.0358132,300,0,,
9.780385,0.0357386,300,0,,
9.815092,0.034708,300,0,,
9.850314,0.035223,300,0,,
9.8860035,0.0356894,300,0,,
9.919704,0.0337002,300,0,,
9.9541235,0.0344178,300,0,,
9.990372,0.0362484,300,0,,
10.024156,0.0337849,300,0,,
10.060399,0.036243,300,0,,
10.096156,0.0357567,300,0,,
10.132378,0.0362226,300,0,,
10.1673565,0.0349787,300,0,,
10.20132,0.0339621,300,0,,
10.237277,0.035957802,300,0,,
10.272036,0.0347585,300,0,,
10.305936,0.0339017,300,0,,
10.341467,0.0355315,300,0,,
10.375547,0.034081202,300,0,,
10.411702,0.036155097,300,0,,
10.447921,0.0362191,300,0,,
10.481774,0.0338537,300,0,,
10.518295,0.0365212,300,0,,1
10.554716,0.0364197,300,0,,1
10.588328,0.0336105,300,0,,1
10.624389,0.0360599,300,0,,1
10.658599,0.0342104,300,0,,1
10.693397,0.034799002,300,0,,1
10.729751,0.0363549,300,0,,1
10.763265,0.033514,300,0,,1
10.797192,0.033928297,300,0,,1
10.831714,0.0345215,300,0,,1
10.866555,0.0348396,300,0,,1
10.901374,0.0348186,300,0,,1
10.935438,0.034063097,300,0,,1
10.9710455,0.0356073,300,0,,1
11.006014,0.0349705,300,0,,1
11.040798,0.0347833,300,0,,1
11.074706,0.0339083,300,0,,1
11.108241,0.0335343,300,0,,1
11.144343,0.0361041,300,0,,1
11.178895,0.034551598,300,0,,1
11.212587,0.033690702,300,0,,1
11.24806,0.0354729,300,0,,1
11.282002,0.033941798,300,0,,1
11.31834,0.0363378,300,0,,1
11.352745,0.0344049,300,0,,1
11.388563,0.0358168,300,0,,1
11.424643,0.0360784,300,0,,1
11.460756,0.0361133,300,0,,1
11.496294,0.035536103,299,0,,1
11.5307665,0.0344731,299,0,,1
11.566698,0.035932798,299,0,,1
11.601983,0.035284203,299,0,,1
11.635604,0.0336205,299,0,,1
11.67185,0.0362456,299,0,,1
11.7079315,0.0360801,299,0,,1
11.741644,0.033711802,299,0,,1
11.777623,0.0359779,299,0,,1
11.812062,0.0344367,299,0,,1
11.846138,0.034075,299,0,,1
11.881443,0.0353051,299,0,,1
11.915199,0.033758197,299,0,,1
11.951375,0.0361754,299,0,,1
11.985362,0.033987403,299,0,,1
12.020217,0.0348568,299,0,,1
12.056034,0.0358159,299,0,,1
12.091591,0.0355553,299,0,,1
12.126374,0.0347845,299,0,,1
12.162097,0.0357222,299,0,,1
12.199838,0.037740603,299,0,,1
