time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
14.374184,0.0,300,,,
14.408587,0.034404602,300,,,
14.443212,0.034625098,300,,,
14.478639,0.0354272,300,,,
14.513153,0.0345147,300,,,
14.547115,0.033964,300,,,
14.581304,0.0341886,300,,,
14.615005,0.033703003,300,,,
14.648916,0.033910897,300,,,
14.683577,0.0346612,300,,,
14.718259,0.034681503,300,,,
14.752239,0.0339822,300,,,
14.787157,0.0349179,300,,,
14.821485,0.034326904,300,,,
14.855457,0.0339715,300,,,
14.890778,0.0353206,300,,,
14.92424,0.0334633,300,,,
14.957799,0.0335594,300,,,
14.9913225,0.033523,300,,,
15.026116,0.034794,300,,,
15.060316,0.0342005,300,,,
15.095602,0.0352876,300,,,
15.1300745,0.0344726,300,,,
15.165101,0.0350266,300,,,
15.199622,0.0345214,300,,,
15.233894,0.0342727,300,,,
15.2693,0.035406798,300,,,
15.304076,0.0347759,300,,,
15.339544,0.0354684,300,,,
15.373322,0.0337779,300,,,
15.40816,0.0348382,300,3,,
15.443527,0.0353662,300,3,,
15.4791765,0.0356499,300,3,,
15.516168,0.036991302,300,3,,
15.552108,0.0359394,300,3,,
15.588216,0.0361086,300,3,,
15.622764,0.034546897,300,3,,
15.658401,0.035638403,300,3,,
15.692482,0.0340821,300,3,,
15.727202,0.0347192,300,3,,
15.762406,0.0352035,300,3,,
15.796044,0.033638097,300,3,,
15.829954,0.0339098,300,3,,
15.86386,0.0339056,300,3,,
15.897429,0.0335681,300,3,,
15.932309,0.0348804,300,3,,
15.966098,0.033789802,300,3,,
16.00011,0.034011,300,3,,
16.034452,0.034340702,300,3,,
16.068289,0.033836,300,3,,
16.103579,0.0352924,300,3,,
16.137436,0.0338581,300,3,,
16.171825,0.0343906,300,3,,
16.20629,0.034464,300,3,,
16.24028,0.033990897,300,3,,
16.275518,0.035235703,300,3,,
16.309305,0.0337891,300,3,,
16.34283,0.0335283,300,3,,
16.379036,0.036206603,300,3,,
16.413622,0.0345884,300,3,,
16.44698,0.033357497,300,3,,
16.480629,0.0336521,300,3,,
16.51558,0.03495,300,3,,
16.55023,0.0346497,300,3,,
16.584215,0.0339856,300,3,,
16.617561,0.0333464,300,3,,
16.652185,0.034622103,300,3,,
16.685888,0.0337032,300,3,,
16.719557,0.033667497,300,3,,
16.75378,0.0342194,300,3,,
16.787971,0.034191404,300,3,,
16.822327,0.0343548,300,3,,
16.856928,0.0346037,300,3,,
16.891184,0.034254998,300,3,,
16.926508,0.035326403,300,3,,
16.960373,0.0338649,300,3,,
16.995104,0.0347327,300,3,,
17.030174,0.035072498,300,3,,
17.064428,0.034253,300,3,,
17.098423,0.0339942,300,3,,
17.133455,0.035033297,300,3,,
17.166922,0.033461403,300,3,,
17.200993,0.034072697,300,3,,
17.23528,0.034282602,300,3,,
17.26884,0.0335592,300,3,,
17.30385,0.0350088,300,3,,
17.338606,0.0347569,300,3,,
17.373642,0.035035003,300,3,,
17.40887,0.035231497,300,3,,
17.444305,0.0354391,300,3,,
17.478659,0.0343553,300,3,,
17.513906,0.0352505,300,3,,
17.547619,0.0337109,300,3,,
17.581955,0.0343372,300,3,,
17.615757,0.033801697,300,3,,
17.650026,0.034265302,300,3,,
17.685278,0.035253398,300,3,,
17.719616,0.034337003,300,3,,
17.753084,0.033470698,300,3,,
17.789228,0.0361453,300,3,,
17.824476,0.035248403,300,3,,
17.857887,0.033411197,300,3,,
17.892176,0.0342876,300,3,,
17.926134,0.0339598,300,3,,
17.95957,0.033435002,300,3,,
17.993183,0.0336128,300,3,,
18.027674,0.0344867,300,3,,
18.062513,0.0348384,300,3,,
18.096956,0.0344428,300,3,,
18.130816,0.0338607,300,3,,
18.166014,0.0351977,300,3,,
18.199635,0.0336201,300,3,,
18.234291,0.0346598,300,3,,
18.267992,0.0337,300,3,,
18.30227,0.0342802,300,3,,
18.336512,0.0342399,300,3,,
18.37174,0.0352308,300,3,,
18.407217,0.0354724,300,0,,
18.44084,0.033624798,300,0,,
18.47582,0.0349809,300,0,,
18.50979,0.0339723,300,0,,
18.54355,0.0337584,300,0,,
18.577974,0.0344262,300,0,,
18.611437,0.0334616,300,0,,
18.647331,0.0358924,300,0,,
18.681622,0.0342923,300,0,,
18.714968,0.0333486,300,0,,
18.750282,0.0353136,300,0,,
18.784155,0.0338749,300,0,,
18.820177,0.0360202,300,0,,
18.854555,0.0343794,300,0,,
18.888792,0.0342394,300,0,,
18.922304,0.033510998,300,0,,
18.957659,0.035355803,300,0,,
18.991377,0.033718098,300,0,,
19.026545,0.0351701,300,0,,
19.062025,0.0354836,300,0,,
19.097166,0.0351412,300,0,,
19.132824,0.035658002,300,0,,
19.166847,0.0340199,300,0,,
19.202845,0.0359966,300,0,,
19.238758,0.0359152,300,0,,
19.275232,0.0364744,300,0,,
19.31041,0.0351795,300,0,,
19.346378,0.0359737,300,0,,
19.380657,0.0342761,300,0,,
19.415344,0.0346879,300,0,,
19.449293,0.0339478,300,0,,
19.482681,0.033389598,300,0,,
19.518635,0.0359524,300,0,,
19.554476,0.035839003,300,0,,
19.58847,0.0339943,300,0,,
19.62288,0.0344084,300,0,,
19.65675,0.0338692,300,0,,
19.690685,0.0339333,300,0,,
19.726416,0.0357304,300,0,,
19.759916,0.033501398,300,0,,
19.794958,0.0350435,300,0,,
19.830162,0.035201002,300,0,,
19.864931,0.0347709,300,0,,
19.900906,0.0359733,300,0,,
19.935987,0.035081603,300,0,,
19.970818,0.0348286,300,0,,
20.005276,0.0344579,300,0,,
20.040735,0.035458,300,0,,
20.075153,0.0344185,300,0,,
20.110466,0.035312902,300,0,,
20.145294,0.034833297,300,0,,
20.179623,0.0343283,300,0,,
20.213604,0.033981,300,0,,
20.24802,0.0344159,300,0,,
20.28243,0.0344115,300,0,,
20.316074,0.0336453,300,0,,
20.35141,0.0353369,300,0,,
20.385735,0.0343243,300,0,,
20.420101,0.0343656,300,0,,
20.45411,0.0340077,300,0,,
20.487814,0.0337038,300,0,,
20.52256,0.0347463,300,0,,
20.55965,0.0370897,300,0,,
20.59716,0.0375085,300,0,,
20.631165,0.0340044,300,0,,
20.666096,0.034931198,300,0,,
20.70271,0.036612302,300,0,,1
20.736303,0.033595297,300,0,,1
20.771406,0.035103,300,0,,1
20.80547,0.0340604,300,0,,1
20.839977,0.0345086,300,0,,1
20.875027,0.0350511,300,0,,1
20.909542,0.0345179,300,0,,1
20.944632,0.0350854,300,0,,1
20.980286,0.0356519,300,0,,1
21.013834,0.0335472,300,0,,1
21.05021,0.0363786,300,0,,1
21.085737,0.035525203,300,0,,1
21.119791,0.034054197,300,0,,1
21.15499,0.035199102,300,0,,1
21.191956,0.0369656,300,0,,1
21.22797,0.036016498,300,0,,1
21.263985,0.0360133,300,0,,1
21.300112,0.0361273,300,0,,1
21.334423,0.0343121,300,0,,1
21.370115,0.0356921,300,0,,1
21.406456,0.036343403,300,0,,1
21.44235,0.0358939,300,0,,1
21.476612,0.03426,300,0,,1
21.510223,0.0336115,300,0,,1
21.546171,0.0359465,300,0,,1
21.580517,0.0343459,300,0,,1
21.614515,0.0339961,300,0,,1
21.647896,0.0333817,300,0,,1
21.68278,0.0348804,300,0,,1
21.719063,0.0362803,299,0,,1
21.755297,0.0362333,299,0,,1
21.791588,0.036292,299,0,,1
21.826403,0.0348138,299,0,,1
21.861221,0.0348193,299,0,,1
21.895435,0.034212198,299,0,,1
21.931046,0.0356093,299,0,,1
21.96724,0.0361944,299,0,,1
22.00082,0.0335798,299,0,,1
22.036438,0.0356158,299,0,,1
22.071915,0.035477698,299,0,,1
22.105593,0.033676103,299,0,,1
22.141678,0.0360846,299,0,,1
22.177658,0.0359828,299,0,,1
22.212837,0.0351807,299,0,,1
22.249205,0.0363699,299,0,,1
22.28296,0.0337578,299,0,,1
22.318935,0.0359781,299,0,,1
22.354122,0.0351831,299,0,,1
22.390076,0.0359544,299,0,,1
22.423437,0.0333625,299,0,,1
22.458982,0.0355432,299,0,,1
22.495321,0.0363384,299,0,,1
22.530588,0.035263702,299,0,,1
22.565447,0.0348554,299,0,,1
22.601583,0.0361371,299,0,,1
22.636148,0.0345654,299,0,,1
22.670692,0.034543797,299,0,,1
22.705647,0.0349521,298,0,,1
22.741346,0.0356975,298,0,,1
22.775564,0.0342164,298,0,,1
22.809963,0.034397,298,0,,1
22.843973,0.0340073,298,0,,1
22.878584,0.0346103,298,0,,1
22.911947,0.0333644,298,0,,1
22.948057,0.0361108,298,0,,1
22.98407,0.0360103,298,0,,1
23.017662,0.0335924,298,0,,1
23.052853,0.035192903,298,0,,1
23.08765,0.034798298,298,0,,1
23.123919,0.0362682,298,0,,1
23.15827,0.0343515,298,0,,1
23.191895,0.0336238,298,0,,1
23.226528,0.0346291,298,0,,1
23.26296,0.0364327,298,0,,1
23.298857,0.035893403,298,0,,1
23.333023,0.0341656,298,0,,1
23.368649,0.0356277,298,0,,1
23.402803,0.034155298,298,0,,1
23.43825,0.0354457,298,0,,1
23.472622,0.0343692,298,0,,1
23.506607,0.0339852,298,0,,1
23.540571,0.033963498,298,0,,1
23.574516,0.0339478,298,0,,1
23.608501,0.033985,298,0,,1
23.642359,0.033857603,298,0,,1
23.675762,0.033401497,298,0,,1
23.709417,0.033655703,297,0,,1
23.744581,0.035163,297,0,,1
23.779797,0.035214297,297,0,,1
23.815636,0.0358382,297,0,,1
23.850159,0.034522098,297,0,,1
23.884634,0.0344766,297,0,,1
23.918951,0.0343194,297,0,,1
23.954212,0.0352627,297,0,,1
23.987812,0.033603102,297,0,,1
24.021626,0.033811897,297,0,,1
24.056747,0.0351242,297,0,,1
24.092264,0.0355143,297,0,,1
24.127764,0.035499502,297,0,,1
24.163269,0.0355053,297,0,,1
24.197292,0.034026,297,0,,1
24.232374,0.0350805,297,0,,1
24.267769,0.0353993,297,0,,1
24.30341,0.0356378,297,0,,1
24.339891,0.036483303,297,0,,1
24.375004,0.035111498,297,,,1
24.410671,0.0356639,297,,,1
24.446327,0.035653003,297,,,1
24.481258,0.034929797,297,,,1
24.515015,0.033754803,297,,,1
24.548685,0.033668198,297,,,1
24.582066,0.0333786,297,,,1
24.615906,0.0338388,297,,,1
24.65005,0.0341423,297,,,1
24.685394,0.0353437,296,,,1
24.721148,0.0357521,296,,,1
24.755314,0.0341656,296,,,1
24.790209,0.034894403,296,,,1
24.82463,0.0344206,296,,,1
24.861008,0.036373902,296,,,1
24.894453,0.033446297,296,,,1
24.929144,0.0346901,296,,,1
24.964725,0.0355832,296,,,1
24.998436,0.0337105,296,,,1
25.033665,0.0352311,296,,,1
25.069304,0.035637103,296,,,1
25.105095,0.035786998,296,,,1
25.139679,0.0345872,296,,,1
25.173397,0.0337147,296,,,1
25.207327,0.0339296,296,,,1
25.2414,0.03407,296,,,1
25.275547,0.0341493,296,,,1
25.310585,0.0350344,296,,,1
25.344221,0.0336367,296,,,1
25.378275,0.034057297,296,,,1
25.412184,0.0339065,296,,,1
25.448416,0.036233,296,,,1
25.483568,0.0351493,296,,,1
25.517761,0.0341941,296,,,1
25.551765,0.0339998,296,,,1
25.585552,0.0337848,296,,,1
25.619194,0.0336405,296,,,1
25.654783,0.035590403,296,,,1
25.689829,0.035050496,296,,,1
25.725653,0.0358234,295,,,1
25.759628,0.0339778,295,,,1
25.793362,0.033735402,295,,,1
25.8294,0.036039,295,,,1
25.865173,0.0357735,295,,,1
25.900503,0.0353367,295,,,1
25.935316,0.034817003,295,,,1
25.97064,0.035324097,295,,,1
26.004194,0.033552602,295,,,1
26.038872,0.0346763,295,,,1
26.072493,0.0336206,295,,,1
26.107182,0.0346882,295,,,1
26.14215,0.0349695,295,,,1
26.175945,0.0337952,295,,,1
26.210686,0.0347412,295,,,1
26.24673,0.0360467,295,,,1
26.280693,0.0339608,295,,,1
26.315098,0.034408,295,,,1
26.349005,0.0339097,295,,,1
26.383295,0.0342891,295,,,1
26.416765,0.033468,295,,,1
26.451828,0.0350643,295,,,1
26.48568,0.0338513,295,,,1
26.520473,0.034794003,295,,,1
26.555103,0.034629997,295,,,1
26.589077,0.0339704,295,,,1
26.624992,0.035918903,295,,,1
26.660095,0.0351022,295,,,1
26.693707,0.0336108,294,,,1
26.727486,0.0337804,294,,,1
26.761898,0.0344111,294,,,1
26.796213,0.034319803,294,,,1
26.83114,0.034925498,294,,,1
26.864664,0.0335252,294,,,1
26.898422,0.0337557,294,,,1
26.933317,0.0348916,294,,,1
26.967012,0.033693798,294,,,1
27.001677,0.0346644,294,,,1
27.035269,0.0335938,294,,,1
27.069635,0.0343684,294,,,1
27.104889,0.0352558,294,,,1
27.139877,0.0349841,294,,,1
27.173452,0.0335707,294,,,1
27.207981,0.034531202,294,,,1
27.243149,0.0351672,294,,,1
27.276598,0.0334468,294,,,1
27.310041,0.0334462,294,,,1
27.344662,0.0346182,294,,,1
27.378077,0.0334144,294,,,1
27.412624,0.0345457,294,,,1
27.446737,0.0341121,294,,,1
27.48193,0.0351925,294,,,1
27.516384,0.0344539,294,,,1
27.551435,0.0350532,294,,,1
27.586067,0.0346277,294,,,1
27.621191,0.0351248,294,,,1
27.65679,0.0356001,294,,,1
27.690441,0.0336543,294,,,1
27.725945,0.0355026,293,,,1
27.759491,0.0335464,293,,,1
27.794664,0.0351708,293,,,1
27.829643,0.0349756,293,,,1
27.863464,0.033819,293,,,1
27.89806,0.034595598,293,,,1
27.932693,0.034632303,293,,,1
27.967813,0.035118498,293,,,1
28.002804,0.0349853,293,,,1
28.038906,0.0361053,293,,,1
28.07273,0.0338258,293,,,1
28.1071,0.0343702,293,,,1
28.141048,0.0339539,293,,,1
28.174894,0.0338426,293,,,1
28.208698,0.033807397,293,,,1
28.242468,0.0337666,293,,,1
28.277025,0.0345547,293,,,1
28.31068,0.0336578,293,,,1
28.344067,0.0333899,293,,,1
28.378656,0.034583297,293,,,1
28.412355,0.0337002,293,,,1
28.4463,0.0339458,293,,,1
28.479803,0.0335025,293,,,1
28.513853,0.034050502,293,,,1
28.548964,0.035109,293,,,1
28.58371,0.0347467,293,,,1
28.617386,0.033675503,293,,,1
28.652193,0.0348086,293,,,1
28.685799,0.033606,293,,,1
28.719713,0.0339126,292,,,1
28.753761,0.0340471,292,,,1
28.788204,0.0344438,292,,,1
28.82156,0.0333578,292,,,1
28.854944,0.0333816,292,,,1
28.890858,0.035912503,292,,,1
28.926598,0.0357415,292,,,1
28.961426,0.034827597,292,,,1
28.9966,0.035174303,292,,,1
29.032263,0.0356652,292,,,1
29.066837,0.034573298,292,,,1
29.102234,0.035394803,292,,,1
29.136095,0.0338622,292,,,1
29.170725,0.034630697,292,,,1
29.206526,0.0358009,292,,,1
29.24299,0.0364681,292,,,1
29.276867,0.033877302,292,,,1
29.312988,0.0361222,292,,,1
29.34727,0.0342795,292,,,1
29.380783,0.0335102,292,,,1
29.415514,0.0347323,292,,,1
29.45112,0.0356056,292,,,1
29.485569,0.034450002,292,,,1
29.520767,0.0351967,292,,,1
29.554434,0.0336685,292,,,1
29.591206,0.0367724,292,,,1
29.625414,0.0342099,292,,,1
29.660606,0.035192203,292,,,1
29.694572,0.033968396,292,,,1
29.730242,0.035667803,291,,,1
29.765072,0.0348306,291,,,1
29.799442,0.0343672,291,,,1
29.834269,0.0348274,291,,,1
29.870022,0.0357552,291,,,1
29.904709,0.0346849,291,,,1
29.9384,0.0336897,291,,,1
29.97513,0.0367304,291,,,1
30.010532,0.035404798,291,,,1
30.046444,0.035912,291,,,1
30.079885,0.0334411,291,,,1
30.115133,0.0352461,291,,,1
30.149012,0.033878002,291,,,1
30.183561,0.034551,291,,,1
30.217587,0.0340247,291,,,1
30.251175,0.033587698,291,,,1
30.286545,0.0353684,291,,,1
30.322594,0.0360473,291,,,1
30.355957,0.0333627,291,,,1
30.390202,0.0342435,291,,,1
30.425804,0.035603497,291,,,1
30.46124,0.0354346,291,,,1
30.49667,0.035427403,291,,,1
30.531157,0.034488,291,,,1
30.564821,0.0336615,291,,,1
30.599804,0.034979098,291,,,1
30.635004,0.035199303,291,,,1
30.670006,0.035001297,291,,,1
30.703537,0.033530302,290,,,1
30.7385,0.0349633,290,,,1
30.773495,0.0349973,290,,,1
30.809568,0.036074102,290,,,1
30.843933,0.0343645,290,,,1
30.879599,0.0356675,290,,,1
30.915972,0.036374,290,,,1
30.95095,0.0349782,290,,,1
30.984793,0.0338427,290,,,1
31.018724,0.0339304,290,,,1
31.05574,0.0370149,290,,,1
31.092167,0.0364284,290,,,1
31.127037,0.0348697,290,,,1
31.162912,0.0358747,290,,,1
31.198578,0.035668,290,,,1
31.232721,0.0341414,290,,,1
31.269768,0.0370494,290,,,1
31.304104,0.034337,290,,,1
31.340229,0.0361245,290,,,1
31.375591,0.0353628,290,,,1
31.411564,0.0359727,290,,,1
31.446262,0.034696802,290,,,1
31.481852,0.0355904,290,,,1
31.51693,0.0350759,290,,,1
31.55134,0.034409698,290,,,1
31.587461,0.0361212,290,,,1
31.623003,0.0355402,290,,,1
31.658188,0.0351888,290,,,1
31.6942,0.036011998,289,,,1
31.730253,0.0360527,289,,,1
31.763948,0.033695802,289,,,1
31.798643,0.034698498,289,,,1
31.834673,0.036026303,289,,,1
31.870739,0.036062498,289,,,1
31.906944,0.036205802,289,,,1
31.942108,0.035163198,289,,,1
31.980642,0.038533702,289,,,1
32.015038,0.034397,289,,,1
32.04943,0.0343918,289,,,1
32.084858,0.0354292,289,,,1
32.120003,0.0351373,289,,,1
32.15533,0.0353344,289,,,1
32.191723,0.0363878,289,,,1
32.22627,0.0345474,289,,,1
32.260464,0.034194,289,,,1
32.297295,0.0368319,289,,,1
32.333103,0.0358123,289,,,1
32.368008,0.034904197,289,,,1
32.40202,0.034011703,289,,,1
32.437107,0.0350855,289,,,1
32.473053,0.0359473,289,,,1
32.50815,0.0350911,289,,,1
32.54157,0.0334226,289,,,1
32.577526,0.0359617,289,,,1
32.613636,0.036111,289,,,1
32.647465,0.0338289,289,,,1
32.68255,0.035084,289,,,1
32.71735,0.0347985,288,,,1
32.753696,0.0363482,288,,,1
32.787964,0.034267697,288,,,1
32.825294,0.0373335,288,,,1
32.858906,0.033606403,288,,,1
32.892574,0.0336723,288,,,1
32.92911,0.0365371,288,,,1
32.962597,0.0334826,288,,,1
32.99731,0.0347094,288,,,1
33.0324,0.0350868,288,,,1
33.066208,0.0338122,288,,,1
33.102,0.0357966,288,,,1
33.136276,0.0342774,288,,,1
33.17068,0.0344077,288,,,1
33.207138,0.0364558,288,,,1
33.240765,0.0336283,288,,,1
33.27652,0.0357523,288,,,1
33.31222,0.0356972,288,,,1
33.348286,0.036062602,288,,,1
33.383366,0.0350727,288,,,1
33.41877,0.0353963,288,,,1
33.454952,0.0361753,288,,,1
33.493412,0.0384578,288,,,1
33.529686,0.0362773,288,,,1
33.563576,0.0338882,288,,,1
33.59888,0.0353138,288,,,1
33.63452,0.035638902,288,,,1
33.668896,0.0343746,288,,,1
33.70365,0.0347554,287,,,1
33.737225,0.0335795,287,,,1
33.77288,0.0356538,287,,,1
33.80723,0.0343455,287,,,1
33.84074,0.033509802,287,,,1
33.87554,0.034802098,287,,,1
33.90976,0.0342162,287,,,1
33.946167,0.036405303,287,,,1
33.980625,0.034461997,287,,,1
34.014835,0.034210302,287,,,1
34.05066,0.0358196,287,,,1
34.08403,0.0333781,287,,,1
34.1175,0.0334734,287,,,1
34.152733,0.0352297,287,,,1
34.187637,0.0349013,287,,,1
34.223797,0.036160402,287,,,1
34.25977,0.0359713,287,,,1
34.293674,0.0339032,287,,,1
34.329178,0.0355044,287,,,1
34.36516,0.0359797,287,,,1
34.40002,0.0348576,287,,,1
34.434666,0.034647398,287,,,1
34.469555,0.034889102,287,,,1
34.505863,0.0363097,287,,,1
34.539986,0.034121,287,,,1
34.57384,0.0338556,287,,,1
34.608383,0.0345451,287,,,1
34.642185,0.033803202,287,,,1
34.678093,0.0359037,287,,,1
34.71207,0.0339767,286,,,1
34.748264,0.036193497,286,,,1
34.78329,0.0350224,286,,,1
34.818375,0.0350833,286,,,1
34.85274,0.0343645,286,,,1
34.889103,0.0363684,286,,,1
34.92334,0.0342371,286,,,1
34.957012,0.0336717,286,,,1
34.99092,0.033910498,286,,,1
35.026653,0.035735402,286,,,1
35.061104,0.034450397,286,,,1
35.09727,0.036168903,286,,,1
35.130623,0.0333507,286,,,1
35.16679,0.0361696,286,,,1
35.20202,0.0352373,286,,,1
35.23544,0.033416,286,,,1
35.26987,0.0344363,286,,,1
35.30588,0.036006898,286,,,1
35.340466,0.034594703,286,,,1
35.374596,0.0341269,286,,,1
35.409172,0.0345759,286,,,1
35.444176,0.0350087,286,,,1
35.47823,0.034051802,286,,,1
35.512817,0.0345871,286,,,1
35.548927,0.0361069,286,,,1
35.58316,0.0342324,286,,,1
35.6166,0.033442598,286,,,1
35.65066,0.0340607,286,,,1
35.68527,0.034609098,286,,,1
35.71975,0.034483302,285,,,1
35.75531,0.0355617,285,,,1
35.791023,0.0357139,285,,,1
35.825966,0.034949,285,,,1
35.860794,0.0348304,285,,,1
35.895184,0.0343897,285,,,1
35.93012,0.0349396,285,,,1
35.96399,0.0338675,285,,,1
35.99784,0.033855602,285,,,1
36.031727,0.033883598,285,,,1
36.067898,0.0361736,285,,,1
36.10315,0.0352467,285,,,1
36.13774,0.0345855,285,,,1
36.17346,0.0357205,285,,,1
36.207542,0.034084402,285,,,1
36.24313,0.035586298,285,,,1
36.278214,0.0350887,285,,,1
36.31377,0.035555903,285,,,1
36.3491,0.0353276,285,,,1
36.383762,0.0346639,285,,,1
36.41775,0.0339913,285,,,1
36.452682,0.0349356,285,,,1
36.48623,0.0335456,285,,,1
36.521824,0.0355927,285,,,1
36.557446,0.0356238,285,,,1
36.593697,0.0362477,285,,,1
36.627914,0.0342175,285,,,1
36.662067,0.0341498,285,,,1
36.69636,0.0342941,285,,,1
36.730637,0.034275003,284,,,1
36.76521,0.0345728,284,,,1
36.800453,0.0352472,284,,,1
36.835396,0.0349482,284,,,1
36.869907,0.0345179,284,,,1
36.905724,0.035819903,284,,,1
36.939415,0.0336902,284,,,1
36.97331,0.0338963,284,,,1
37.00883,0.035520498,284,,,1
37.043053,0.034223802,284,,,1
37.078182,0.035127297,284,,,1
37.114227,0.0360406,284,,,1
37.14861,0.034378402,284,,,1
37.183865,0.0352531,284,,,1
37.21843,0.0345651,284,,,1
37.25319,0.0347608,284,,,1
37.288345,0.0351611,284,,,1
37.32412,0.035776,284,,,1
37.35918,0.0350588,284,,,1
37.395405,0.0362115,284,,,1
37.43047,0.0350668,284,,,1
37.465366,0.0348983,284,,,1
37.49993,0.0345685,284,,,1
37.53585,0.0359304,284,,,1
37.570892,0.0350351,284,,,1
37.604797,0.033906203,284,,,1
37.640656,0.035855398,284,,,1
37.67564,0.0349866,284,,,1
37.710804,0.035165,283,,,1
37.746925,0.0361257,283,,,1
37.780655,0.0337312,283,,,1
37.814064,0.0334129,283,,,1
37.847504,0.0334412,283,,,1
37.88267,0.035171498,283,,,1
37.91723,0.034556903,283,,,1
37.952263,0.0350409,283,,,1
37.987267,0.0350096,283,,,1
38.020744,0.033483397,283,,,1
38.0554,0.034652002,283,,,1
38.089832,0.0344323,283,,,1
38.1252,0.0353688,283,,,1
38.159267,0.0340669,283,,,1
38.192787,0.0335151,283,,,1
38.227524,0.0347406,283,,,1
38.261353,0.0338295,283,,,1
38.29736,0.0360103,283,,,1
38.33114,0.0337786,283,,,1
38.3668,0.0356606,283,,,1
38.401936,0.0351374,283,,,1
38.43556,0.0336215,283,,,1
38.47035,0.0347884,283,,,1
38.504944,0.0345902,283,,,1
38.539135,0.0341869,283,,,1
38.573227,0.034099,283,,,1
38.608814,0.0355827,283,,,1
38.643536,0.0347222,283,,,1
38.677044,0.0335084,283,,,1
38.713013,0.035966396,282,,,1
38.74878,0.035774603,282,,,1
38.78437,0.0355987,282,,,1
38.81912,0.034748,282,,,1
38.854645,0.035519302,282,,,1
38.888367,0.0337222,282,,,1
38.922592,0.0342296,282,,,1
38.95849,0.0358974,282,,,1
38.994473,0.035987798,282,,,1
39.0294,0.0349252,282,,,1
39.063457,0.0340637,282,,,1
39.0985,0.035042,282,,,1
39.134697,0.0361929,282,,,1
39.169468,0.0347784,282,,,1
39.204838,0.0353682,282,,,1
39.239754,0.034916997,282,,,1
39.273796,0.0340452,282,,,1
39.308598,0.034802,282,,,1
39.342476,0.0338752,282,,,1
39.377266,0.0347929,282,,,1
39.412704,0.0354364,282,,,1
39.446373,0.0336738,282,,,1
39.480953,0.0345824,282,,,1
39.516155,0.035206802,282,,,1
39.550137,0.033984397,282,,,1
39.5835,0.0333685,282,,,1
39.618717,0.035220798,282,,,1
39.65393,0.0352137,282,,,1
39.68795,0.0340177,281,,,1
39.72322,0.035271,281,,,1
39.757153,0.0339302,281,,,1
39.791603,0.034449197,281,,,1
39.826065,0.0344547,281,,,1
39.862034,0.0359723,281,,,1
39.896465,0.0344329,281,,,1
39.931595,0.0351313,281,,,1
