time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
4.093299,0.0,300,,,
4.128389,0.03509,300,,,
4.1636176,0.035229202,300,,,
4.1972756,0.033658497,300,,,
4.232736,0.035460502,300,,,
4.2671876,0.0344512,300,,,
4.301524,0.034336198,300,,,
4.3363075,0.0347828,300,,,
4.37194,0.0356319,300,,,
4.4052896,0.0333491,300,,,
4.4389076,0.0336185,300,,,
4.4740095,0.0351022,300,,,
4.5086665,0.0346567,300,,,
4.5446987,0.0360325,300,,,
4.580028,0.0353302,300,,,
4.6147327,0.034705203,300,,,
4.64927,0.0345382,300,,,
4.6834564,0.0341869,300,,,
4.717495,0.0340389,300,,,
4.7519903,0.0344951,300,,,
4.7860465,0.0340571,300,,,
4.819866,0.03382,300,,,
4.8545403,0.0346742,300,,,
4.889418,0.0348784,300,,,
4.9237013,0.0342836,300,,,
4.957982,0.0342806,300,,,
4.99342,0.0354383,300,,,
5.0269856,0.0335646,300,,,
5.0620556,0.0350705,300,,,
5.096273,0.0342178,300,,,
5.131967,0.035694,300,3,,
5.1676507,0.0356843,300,3,,
5.2041636,0.0365138,300,3,,
5.239332,0.035168897,300,3,,
5.273624,0.034292,300,3,,
5.309325,0.0357019,300,3,,
5.3436213,0.0342969,300,3,,
5.377085,0.0334639,300,3,,
5.411267,0.0341817,300,3,,
5.444921,0.033654302,300,3,,
5.47992,0.034998797,300,3,,
5.5148964,0.034976102,300,3,,
5.548477,0.0335796,300,3,,
5.583687,0.0352088,300,3,,
5.617389,0.0337019,300,3,,
5.6520905,0.034700602,300,3,,
5.686385,0.034295097,300,3,,
5.720817,0.0344319,300,3,,
5.756058,0.0352409,300,3,,
5.7900476,0.0339893,300,3,,
5.8247414,0.034694303,300,3,,
5.8588057,0.0340636,300,3,,
5.8930497,0.0342444,300,3,,
5.9281797,0.0351292,300,3,,
5.962445,0.034265198,300,3,,
5.9961176,0.0336732,300,3,,
6.031527,0.0354079,300,3,,
6.0660644,0.034536798,300,3,,
6.100148,0.034083802,300,3,,
6.1354923,0.0353444,300,3,,
6.169433,0.0339407,300,3,,
6.2030196,0.0335871,300,3,,
6.2379127,0.0348925,300,3,,
6.271756,0.033843,300,3,,
6.305433,0.0336763,300,3,,
6.340333,0.0348998,300,3,,
6.375076,0.0347428,300,3,,
6.409824,0.0347483,300,3,,
6.445035,0.0352108,300,3,,
6.4786587,0.033624,300,3,,
6.5133214,0.0346629,300,3,,
6.548199,0.0348785,300,3,,
6.584148,0.035948,300,3,,
6.617875,0.0337278,300,3,,
6.6513705,0.033495102,300,3,,
6.6854105,0.0340392,300,3,,
6.719182,0.0337722,300,3,,
6.7526674,0.0334858,300,3,,
6.7878084,0.0351413,300,3,,
6.821323,0.033514798,300,3,,
6.8557076,0.0343857,300,3,,
6.8896914,0.0339839,300,3,,
6.924815,0.035123702,300,3,,
6.9583855,0.0335701,300,3,,
6.9937444,0.0353583,300,3,,
7.0315623,0.0378179,300,3,,
7.0653486,0.0337863,300,3,,
7.101823,0.0364742,300,3,,
7.1377635,0.035941098,300,3,,
7.1739526,0.0361896,300,3,,
7.20851,0.0345573,300,3,,
7.243475,0.034965098,300,3,,
7.2771177,0.0336427,300,3,,
7.312986,0.035868198,300,3,,
7.349199,0.0362125,300,3,,
7.3833437,0.034145202,300,3,,
7.418344,0.0350004,300,3,,
7.452863,0.0345185,300,3,,
7.4876328,0.0347701,300,3,,
7.5213785,0.0337459,300,3,,
7.5557446,0.0343661,300,3,,
7.589519,0.033774,300,3,,
7.623418,0.0338987,300,3,,
7.656912,0.033493597,300,3,,
7.6919203,0.035008203,300,3,,
7.726779,0.0348592,300,3,,
7.7616343,0.0348555,300,3,,
7.800127,0.0384931,300,3,,
7.835706,0.0355792,300,3,,
7.8692346,0.0335283,300,3,,
7.904612,0.0353766,300,3,,
7.9397373,0.0351245,300,3,,
7.9750485,0.035311,300,3,,
8.009774,0.0347251,300,3,,
8.043977,0.0342013,300,3,,
8.079518,0.035540998,300,3,,
8.113254,0.033734903,300,3,,
8.1466675,0.033415698,300,0,,
8.182287,0.0356193,300,0,,
