time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
3.5864353,0.0,300,,,
3.6225517,0.036116403,300,,,
3.6559548,0.0334031,300,,,
3.6896605,0.0337055,300,,,
3.723132,0.033471003,300,,,
3.7593896,0.036257897,300,,,
3.794904,0.0355146,300,,,
3.8297215,0.034817602,300,,,
3.8640509,0.0343295,300,,,
3.8985403,0.0344893,300,,,
3.9324908,0.033950597,300,,,
3.965945,0.033454,300,,,
3.9994173,0.0334722,300,,,
4.033241,0.033823803,300,,,
4.0688877,0.0356465,300,,,
4.1024446,0.0335568,300,,,
4.1376357,0.0351907,300,,,
4.1719294,0.0342934,300,,,
4.2054095,0.0334792,300,,,
4.2395577,0.0341476,300,,,
4.2749586,0.0354005,300,,,
4.3108845,0.0359255,300,,,
4.3462014,0.035317,300,,,
4.3814745,0.0352735,300,,,
4.415551,0.0340766,300,,,
4.4508147,0.0352636,300,,,
4.485907,0.035092697,300,,,
4.520943,0.035037603,300,,,
4.5567408,0.0357976,300,,,
4.591221,0.0344803,300,3,,
4.625817,0.034595598,300,3,,
4.661197,0.0353797,300,3,,
4.695481,0.034283202,300,3,,
4.729083,0.0336015,300,3,,
4.763946,0.0348631,300,3,,
4.7980123,0.034066398,300,3,,
4.8320527,0.0340406,300,3,,
4.8673944,0.0353414,300,3,,
4.901039,0.0336442,300,3,,
4.9353147,0.0342758,300,3,,
4.971016,0.0357008,300,3,,
5.0044274,0.0334112,300,3,,
5.037947,0.033519298,300,3,,
5.072175,0.0342281,300,3,,
5.105702,0.0335275,300,3,,
5.1431437,0.037442,300,3,,
5.17826,0.0351161,300,3,,
5.214228,0.035968702,300,3,,
5.250239,0.036010098,300,3,,
5.2835875,0.033349,300,3,,
5.317487,0.0338992,300,3,,
5.3510385,0.0335518,300,3,,
5.3851085,0.0340701,300,3,,
5.419204,0.0340957,300,3,,
5.4547644,0.035560198,300,3,,
5.4899373,0.035173003,300,3,,
5.5258555,0.0359183,300,3,,
5.559633,0.0337773,300,3,,
5.601334,0.0417008,300,3,,
5.6373215,0.035988,300,3,,
5.671214,0.033893,300,3,,
5.7046385,0.0334236,300,3,,
5.7396464,0.0350084,300,3,,
5.7746882,0.0350423,300,3,,
5.808412,0.0337242,300,3,,
5.8418307,0.0334191,300,3,,
5.87765,0.0358188,300,3,,
5.9111204,0.033471,300,3,,
5.944993,0.0338728,300,3,,
5.978743,0.0337498,300,3,,
6.013782,0.0350385,300,3,,
6.04964,0.0358577,300,3,,
6.0837436,0.0341037,300,3,,
6.1190133,0.0352702,300,3,,
6.1530166,0.0340028,300,3,,
6.1888185,0.0358023,300,3,,
6.222956,0.034138,300,3,,
6.2590656,0.0361095,300,3,,
6.2930174,0.033951297,300,3,,
6.3283753,0.0353579,300,3,,
6.3638244,0.0354487,300,3,,
6.3992276,0.0354033,300,3,,
6.4330983,0.033870902,300,3,,
6.4677253,0.034626998,300,3,,
6.503525,0.035800103,300,3,,
6.539041,0.035515398,300,3,,
6.5749655,0.035924602,300,3,,
6.6099353,0.034969598,300,3,,
6.645778,0.0358423,300,3,,
6.681669,0.035890702,300,3,,
6.716109,0.034440197,300,3,,
6.75039,0.034281302,300,3,,
6.7857594,0.0353689,300,3,,
6.8210363,0.0352767,300,3,,
6.854912,0.0338748,300,3,,
6.890856,0.0359436,300,3,,
6.924196,0.0333392,300,3,,
6.959864,0.0356687,300,3,,
6.995875,0.0360112,300,3,,
7.032069,0.0361947,300,3,,
7.0660143,0.033944897,300,3,,
7.1020455,0.036031403,300,3,,
7.1360755,0.0340303,300,3,,
7.1707535,0.0346778,300,3,,
7.2063274,0.0355739,300,3,,
7.2421365,0.0358097,300,3,,
7.2765603,0.0344236,300,3,,
7.3122687,0.0357075,300,3,,
7.3475623,0.0352933,300,3,,
7.383693,0.0361305,300,3,,
7.417905,0.034212,300,3,,
7.4533167,0.0354121,300,3,,
7.488428,0.0351114,300,3,,
7.524505,0.0360771,300,3,,
7.5601196,0.035614397,300,3,,
7.5956955,0.035576202,300,3,,
7.629157,0.0334614,300,0,,
7.6632824,0.034125898,300,0,,
7.6967773,0.033495,300,0,,
7.733316,0.0365393,300,0,,
7.7674685,0.034151997,300,0,,
7.802577,0.0351079,300,0,,
7.836319,0.033742603,300,0,,
7.86985,0.0335309,300,0,,
7.905262,0.0354121,300,0,,
7.939889,0.034626503,300,0,,
7.9735565,0.0336671,300,0,,
8.009322,0.035765,300,0,,
8.04473,0.0354067,300,0,,
8.080764,0.0360339,300,0,,
8.115707,0.0349443,300,0,,
8.149728,0.034021802,300,0,,
8.183283,0.033556,300,0,,
8.217112,0.03383,300,0,,
8.253063,0.0359535,300,0,,
8.2885275,0.035465103,300,0,,
8.3250675,0.0365396,300,0,,
8.359762,0.034695398,300,0,,
8.394515,0.0347516,300,0,,
8.430562,0.0360463,300,0,,
8.466716,0.0361532,300,0,,
8.502639,0.035923,300,0,,
8.537255,0.0346175,300,0,,
8.572854,0.0355986,300,0,,
8.609295,0.036439802,300,0,,
8.649472,0.0401776,300,0,,
8.684963,0.0354904,300,0,,
8.718512,0.0335478,300,0,,
8.753718,0.0352053,300,0,,
8.788354,0.0346336,300,0,,
8.822476,0.0341236,300,0,,
8.858042,0.0355648,300,0,,
8.895443,0.0374015,300,0,,
8.930098,0.0346549,300,0,,
8.964204,0.0341064,300,0,,
8.998028,0.0338243,300,0,,
9.0320015,0.033972602,300,0,,
9.067937,0.0359344,300,0,,
9.103898,0.0359607,300,0,,
9.137429,0.0335318,300,0,,
9.17131,0.033881698,300,0,,
9.20863,0.0373196,300,0,,
9.245318,0.0366886,300,0,,
9.281425,0.0361068,300,0,,
9.316059,0.0346344,300,0,,
9.35003,0.0339709,300,0,,
9.387198,0.0371695,300,0,,
9.422293,0.0350934,300,0,,
9.455816,0.0335241,300,0,,
9.490755,0.0349399,300,0,,
9.52806,0.0373049,300,0,,
9.561895,0.0338349,300,0,,
9.59679,0.0348939,300,0,,
9.632895,0.0361055,300,0,,
9.667914,0.0350194,300,0,,
9.701927,0.0340123,300,0,,1
9.735524,0.0335978,300,0,,1
9.769351,0.0338269,300,0,,1
9.802937,0.033583898,300,0,,1
9.836603,0.033666603,300,0,,1
9.87352,0.036918197,300,0,,1
9.909814,0.036292702,300,0,,1
9.946186,0.0363735,300,0,,1
9.980736,0.0345481,300,0,,1
10.014382,0.0336479,300,0,,1
10.051019,0.0366359,300,0,,1
10.087462,0.036444098,300,0,,1
10.121691,0.034227602,300,0,,1
10.155459,0.0337677,300,0,,1
10.191565,0.036103,300,0,,1
10.225186,0.0336218,300,0,,1
10.261652,0.036464002,300,0,,1
10.297256,0.0356046,300,0,,1
10.332846,0.0355888,300,0,,1
10.366675,0.0338295,300,0,,1
10.402291,0.035615098,300,0,,1
10.438363,0.036071103,300,0,,1
10.473667,0.035304297,300,0,,1
10.509839,0.0361711,300,0,,1
10.5448885,0.0350499,300,0,,1
10.580069,0.0351813,300,0,,1
10.6153345,0.035265703,300,0,,1
10.649601,0.034267098,300,0,,1
10.685268,0.0356653,299,0,,1
10.720008,0.0347405,299,0,,1
10.754812,0.0348036,299,0,,1
10.789408,0.0345955,299,0,,1
10.822755,0.0333483,299,0,,1
10.85652,0.0337638,299,0,,1
10.890507,0.0339877,299,0,,1
10.9262905,0.035783,299,0,,1
10.960132,0.0338398,299,0,,1
10.995244,0.0351118,299,0,,1
11.029713,0.034469202,299,0,,1
11.063587,0.0338742,299,0,,1
11.097272,0.0336848,299,0,,1
11.132512,0.0352401,299,0,,1
11.167742,0.0352291,299,0,,1
11.20335,0.035607297,299,0,,1
11.238459,0.035107203,299,0,,1
11.2747,0.0362411,299,0,,1
11.309585,0.0348849,299,0,,1
11.344342,0.0347563,299,0,,1
11.379749,0.0354069,299,0,,1
11.414882,0.035133403,299,0,,1
11.44931,0.034428697,299,0,,1
11.483804,0.0344939,299,0,,1
11.518457,0.0346532,299,0,,1
11.552967,0.0345111,299,0,,1
11.58707,0.0341017,299,0,,1
11.621814,0.0347432,299,0,,1
11.655634,0.0338204,298,0,,1
11.689883,0.0342483,298,0,,1
11.723977,0.0340944,298,0,,1
11.75755,0.0335746,298,0,,1
11.792289,0.0347379,298,0,,1
11.826901,0.034613103,298,0,,1
11.860766,0.033863697,298,0,,1
11.897096,0.0363293,298,0,,1
11.931836,0.034741603,298,0,,1
11.968361,0.0365264,298,0,,1
12.00225,0.0338888,298,0,,1
12.036417,0.0341683,298,0,,1
12.070978,0.0345615,298,0,,1
12.107278,0.0363007,298,0,,1
12.141702,0.0344236,298,0,,1
12.175991,0.0342895,298,0,,1
12.2118435,0.035852198,298,0,,1
12.247179,0.0353334,298,0,,1
12.282664,0.035485104,298,0,,1
12.316435,0.033769097,298,0,,1
12.351283,0.0348498,298,0,,1
12.38582,0.0345373,298,0,,1
12.421271,0.035450302,298,0,,1
12.456341,0.035069797,298,0,,1
12.492392,0.0360517,298,0,,1
12.526816,0.0344246,298,0,,1
12.562766,0.0359494,298,0,,1
12.598229,0.0354647,298,0,,1
12.632999,0.034771,298,0,,1
12.667188,0.0341875,297,0,,1
12.701716,0.0345297,297,0,,1
12.736123,0.0344036,297,0,,1
12.769724,0.0336,297,0,,1
12.805745,0.0360202,297,0,,1
12.839717,0.0339707,297,0,,1
12.87342,0.0337031,297,0,,1
12.909262,0.0358417,297,0,,1
12.94488,0.0356167,297,0,,1
12.979165,0.034287203,297,0,,1
13.014425,0.0352595,297,0,,1
13.05028,0.035853498,297,0,,1
13.083828,0.0335493,297,0,,1
13.119041,0.0352151,297,0,,1
13.154686,0.035643,297,0,,1
13.188203,0.0335165,297,0,,1
13.224448,0.0362447,297,0,,1
13.258205,0.033756997,297,0,,1
13.293951,0.035745703,297,0,,1
13.327354,0.0334045,297,0,,1
13.3633175,0.035962198,297,0,,1
13.396774,0.033457,297,0,,1
13.431893,0.035120104,297,0,,1
13.467852,0.035959497,297,0,,1
13.502352,0.0345003,297,0,,1
13.53831,0.0359579,297,0,,1
13.573197,0.0348878,297,0,,1
13.608502,0.0353051,297,,,1
13.644518,0.0360155,297,,,1
13.680836,0.0363199,297,,,1
13.716807,0.0359707,296,,,1
13.751042,0.0342353,296,,,1
13.7870455,0.036002602,296,,,1
13.821539,0.0344918,296,,,1
13.856949,0.035408597,296,,,1
13.891933,0.0349847,296,,,1
13.926253,0.0343201,296,,,1
13.960855,0.0346012,296,,,1
13.995012,0.0341599,296,,,1
14.030409,0.0353969,296,,,1
14.065709,0.0352992,296,,,1
14.101852,0.0361449,296,,,1
14.135573,0.033723198,296,,,1
14.171023,0.035450403,296,,,1
14.205165,0.0341416,296,,,1
14.238699,0.033533398,296,,,1
14.273754,0.0350566,296,,,1
14.308791,0.035035502,296,,,1
14.34268,0.0338871,296,,,1
14.376077,0.0333957,296,,,1
14.40985,0.0337717,296,,,1
14.444091,0.034241397,296,,,1
14.4788685,0.0347772,296,,,1
14.512765,0.033897102,296,,,1
14.547859,0.035093397,296,,,1
14.581552,0.033691503,296,,,1
14.616238,0.0346861,296,,,1
14.649839,0.0336031,296,,,1
14.683725,0.0338858,296,,,1
14.717986,0.0342614,295,,,1
14.753522,0.0355355,295,,,1
14.787382,0.0338609,295,,,1
14.824408,0.0370257,295,,,1
14.859029,0.0346195,295,,,1
14.893438,0.0344109,295,,,1
14.928464,0.035026897,295,,,1
14.963096,0.0346314,295,,,1
14.996945,0.0338476,295,,,1
15.030286,0.0333405,295,,,1
15.065825,0.035539903,295,,,1
15.099427,0.033600397,295,,,1
15.134819,0.0353926,295,,,1
15.169543,0.0347238,295,,,1
15.203803,0.0342585,295,,,1
15.239525,0.0357227,295,,,1
15.274658,0.035132904,295,,,1
15.309822,0.0351635,295,,,1
15.344001,0.0341784,295,,,1
15.378146,0.0341459,295,,,1
15.414445,0.0362968,295,,,1
15.448035,0.03359,295,,,1
15.481463,0.0334289,295,,,1
15.514858,0.033394,295,,,1
15.582231,0.067372605,295,,,1
15.617337,0.035106298,295,,,1
15.651314,0.0339757,295,,,1
15.685828,0.0345134,294,,,1
15.721387,0.0355588,294,,,1
15.754839,0.0334512,294,,,1
15.788219,0.0333791,294,,,1
15.82178,0.033560198,294,,,1
15.855263,0.0334832,294,,,1
15.890927,0.0356642,294,,,1
15.926684,0.0357572,294,,,1
15.960732,0.034048703,294,,,1
15.994448,0.033714198,294,,,1
16.029245,0.0347956,294,,,1
16.0637,0.034452,294,,,1
16.0995,0.035805,294,,,1
16.134705,0.0352049,294,,,1
16.170795,0.036092103,294,,,1
16.204618,0.033821497,294,,,1
16.247648,0.043031603,294,,,1
16.281733,0.034084797,294,,,1
16.317862,0.0361288,294,,,1
16.351755,0.033893503,294,,,1
16.387459,0.035701897,294,,,1
16.421219,0.033760503,294,,,1
16.45769,0.0364713,294,,,1
16.49349,0.0358002,294,,,1
16.529222,0.0357343,294,,,1
16.564682,0.0354607,294,,,1
16.60001,0.0353242,294,,,1
16.634361,0.034351,294,,,1
16.669123,0.0347612,294,,,1
16.704796,0.035674497,293,,,1
16.739582,0.0347868,293,,,1
16.773579,0.0339957,293,,,1
16.807505,0.0339221,293,,,1
16.841015,0.0335113,293,,,1
16.87518,0.034165103,293,,,1
16.90964,0.0344603,293,,,1
16.943634,0.0339974,293,,,1
16.978642,0.035008997,293,,,1
17.015158,0.036517702,293,,,1
17.0506,0.035443198,293,,,1
17.084564,0.033964504,293,,,1
17.120893,0.0363294,293,,,1
17.157885,0.0369908,293,,,1
17.191957,0.0340714,293,,,1
17.22684,0.0348816,293,,,1
17.260305,0.0334673,293,,,1
17.29425,0.0339419,293,,,1
17.328243,0.0339913,293,,,1
17.364277,0.036032002,293,,,1
17.399445,0.035168998,293,,,1
17.434475,0.035032902,293,,,1
17.469131,0.034657497,293,,,1
17.503838,0.0347068,293,,,1
17.539007,0.0351692,293,,,1
17.572857,0.0338485,293,,,1
17.606836,0.0339774,293,,,1
17.64157,0.0347314,293,,,1
17.682257,0.040687,292,,,1
17.716232,0.0339768,292,,,1
17.75215,0.0359165,292,,,1
17.786484,0.0343358,292,,,1
17.821478,0.0349911,292,,,1
17.856333,0.034851402,292,,,1
17.889702,0.03337,292,,,1
17.926083,0.036376998,292,,,1
17.959911,0.033830203,292,,,1
17.99549,0.0355764,292,,,1
18.02965,0.034159698,292,,,1
18.06445,0.0348006,292,,,1
18.099623,0.0351733,292,,,1
18.134247,0.034624502,292,,,1
18.169443,0.035196297,292,,,1
18.205862,0.0364171,292,,,1
18.24099,0.0351262,292,,,1
18.276205,0.0352148,292,,,1
18.309975,0.0337709,292,,,1
18.343699,0.0337266,292,,,1
18.37968,0.0359818,292,,,1
18.41472,0.0350449,292,,,1
18.45025,0.035528798,292,,,1
18.484087,0.033833202,292,,,1
18.517963,0.033874497,292,,,1
18.555645,0.0376809,292,,,1
18.589436,0.033791002,292,,,1
18.624315,0.0348791,292,,,1
18.657806,0.0334909,292,,,1
18.6936,0.035792,291,,,1
18.72947,0.0358702,291,,,1
18.764465,0.0349943,291,,,1
18.799753,0.0352865,291,,,1
18.834929,0.0351762,291,,,1
18.869272,0.0343433,291,,,1
18.903666,0.0343916,291,,,1
18.937857,0.0341877,291,,,1
18.972435,0.0345783,291,,,1
19.00765,0.0352113,291,,,1
19.041065,0.0334126,291,,,1
19.07544,0.0343735,291,,,1
19.109638,0.0342022,291,,,1
19.1433,0.0336618,291,,,1
19.17868,0.035381198,291,,,1
19.214272,0.0355947,291,,,1
19.249931,0.0356613,291,,,1
19.285347,0.0354141,291,,,1
19.319607,0.0342592,291,,,1
19.353296,0.0336903,291,,,1
19.387804,0.0345079,291,,,1
19.42228,0.0344759,291,,,1
19.457785,0.0355005,291,,,1
19.493425,0.035639998,291,,,1
