time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
4.206255,0.0,300,,,
4.240518,0.034263298,300,,,
4.2750278,0.0345093,300,,,
4.309796,0.034768,300,,,
4.345864,0.0360679,300,,,
4.381348,0.0354844,300,,,
4.415506,0.0341574,300,,,
4.4502954,0.034789,300,,,
4.4857554,0.035460703,300,,,
4.5191784,0.0334232,300,,,
4.552968,0.0337898,300,,,
4.5863724,0.033404,300,,,
4.6220155,0.0356432,300,,,
4.6579847,0.035968397,300,,,
4.692392,0.034406602,300,,,
4.7279267,0.0355353,300,,,
4.763869,0.0359416,300,,,
4.7989025,0.0350334,300,,,
4.834257,0.0353539,300,,,
4.869378,0.0351202,300,,,
4.9050274,0.0356494,300,,,
4.9388733,0.033846,300,,,
4.9739547,0.0350807,300,,,
5.009102,0.0351472,300,,,
5.0447874,0.0356856,300,,,
5.0781865,0.0333988,300,,,
5.1121283,0.0339422,300,,,
5.147065,0.0349369,300,,,
5.1834006,0.036335398,300,,,
5.218799,0.035399,300,3,,
5.2538633,0.0350644,300,3,,
5.2887673,0.0349037,300,3,,
5.323431,0.034663398,300,3,,
5.357754,0.034323003,300,3,,
5.3925376,0.0347833,300,3,,
5.4274707,0.0349329,300,3,,
5.4618735,0.0344028,300,3,,
5.497014,0.0351401,300,3,,
5.53168,0.0346654,300,3,,
5.5673466,0.0356659,300,3,,
5.60227,0.0349238,300,3,,
5.637896,0.0356252,300,3,,
5.6735954,0.0356993,300,3,,
5.708561,0.0349653,300,3,,
5.743277,0.0347156,300,3,,
5.7773156,0.0340396,300,3,,
5.812956,0.0356399,300,3,,
5.847093,0.0341376,300,3,,
5.880663,0.033569,300,3,,
5.916579,0.0359157,300,3,,
5.950578,0.033999998,300,3,,
5.9848857,0.0343079,300,3,,
6.018873,0.0339876,300,3,,
6.0550585,0.036184702,300,3,,
6.0891294,0.034070697,300,3,,
6.122821,0.033691503,300,3,,
6.157184,0.0343633,300,3,,
6.192831,0.0356467,300,3,,
6.2283416,0.035509698,300,3,,
6.2643766,0.0360348,300,3,,
