time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
4.450636,0.0,300,,,
4.48491,0.0342741,300,,,
4.521163,0.0362528,300,,,
4.5553117,0.0341499,300,,,
4.589255,0.0339429,300,,,
4.6236215,0.034366596,300,,,
4.6589847,0.035362102,300,,,
4.693837,0.0348521,300,,,
4.727499,0.033661403,300,,,
4.7633076,0.0358084,300,,,
4.7984695,0.0351622,300,,,
4.8329015,0.034432,300,,,
4.868791,0.035889197,300,,,
4.9041085,0.0353184,300,,,
4.939689,0.0355812,300,,,
4.9747443,0.0350544,300,,,
5.0081353,0.0333911,300,,,
5.043247,0.0351118,300,,,
5.0787992,0.0355515,300,,,
5.113794,0.0349948,300,,,
5.1492224,0.0354282,300,,,
5.184342,0.0351194,300,,,
5.220443,0.0361006,300,,,
5.254959,0.0345168,300,,,
5.2885547,0.0335954,300,,,
5.323748,0.0351931,300,,,
5.357927,0.034178797,300,,,
5.393981,0.0360529,300,,,
5.4301157,0.0361346,300,,,
5.463999,0.0338828,300,,,
5.4984756,0.0344775,300,3,,
5.5331197,0.0346445,300,3,,
5.569332,0.0362126,300,3,,
5.6039925,0.0346599,300,3,,
5.6378055,0.033813,300,3,,
5.6714177,0.0336111,300,3,,
5.705526,0.0341082,300,3,,
5.741183,0.0356567,300,3,,
5.7763476,0.0351641,300,3,,
5.8124013,0.0360531,300,3,,
5.846936,0.0345343,300,3,,
5.880821,0.0338852,300,3,,
5.9144206,0.0335992,300,3,,
5.9501104,0.0356907,300,3,,
5.9846544,0.0345439,300,3,,
6.019612,0.034956597,300,3,,
6.0535855,0.033974502,300,3,,
6.0885572,0.0349719,300,3,,
6.122042,0.0334849,300,3,,
6.1558127,0.033771202,300,3,,
6.191325,0.0355124,300,3,,
6.2259197,0.0345953,300,3,,
6.2614965,0.035576,300,3,,
6.296215,0.0347182,300,3,,
6.3313737,0.0351591,300,3,,
6.364803,0.0334295,300,3,,
6.3993325,0.0345294,300,3,,
6.434274,0.034942,300,3,,
6.471679,0.0374058,300,3,,
6.507353,0.0356735,300,3,,
6.5407515,0.0333983,300,3,,
6.574796,0.0340445,300,3,,
6.609693,0.034897,300,3,,
6.643491,0.033797298,300,3,,
6.679312,0.0358209,300,3,,
6.714621,0.035309,300,3,,
6.75,0.0353788,300,3,,
6.7838974,0.033898,300,3,,
6.8174925,0.0335944,300,3,,
6.8532968,0.0358047,300,3,,
6.886793,0.033496,300,3,,
6.920163,0.0333696,300,3,,
6.955751,0.0355876,300,3,,
6.9894986,0.0337471,300,3,,
7.0236063,0.034107298,300,3,,
7.059924,0.0363176,300,3,,
7.095396,0.0354717,300,3,,
7.1288514,0.0334556,300,3,,
7.163087,0.0342353,300,3,,
7.1987977,0.0357104,300,3,,
7.2322803,0.033482898,300,3,,
7.265823,0.0335428,300,3,,
7.299789,0.0339654,300,3,,
7.3348875,0.0350988,300,3,,
7.3695345,0.034646902,300,3,,
7.4043474,0.034812298,300,3,,
7.437984,0.033636,300,3,,
7.4733324,0.0353477,300,3,,
7.507846,0.0345136,300,3,,
7.5417166,0.033870302,300,3,,
7.5752964,0.033579998,300,3,,
7.608711,0.0334144,300,3,,
7.643243,0.0345304,300,3,,
7.677657,0.0344139,300,3,,
7.7130327,0.035375398,300,3,,
7.746552,0.033518802,300,3,,
7.779995,0.0334427,300,3,,
7.81388,0.0338851,300,3,,
7.849894,0.0360137,300,3,,
7.884672,0.0347785,300,3,,
7.918544,0.0338718,300,3,,
7.9526,0.034056198,300,3,,
7.985939,0.033338703,300,3,,
8.019706,0.033767097,300,3,,
8.054117,0.0344119,300,3,,
8.088902,0.034785703,300,3,,
8.122516,0.0336136,300,3,,
8.158718,0.036201898,300,3,,
8.19405,0.0353332,300,3,,
8.2275505,0.0335015,300,3,,
8.261156,0.033605803,300,3,,
8.294541,0.0333859,300,3,,
8.32936,0.0348193,300,3,,
8.363129,0.0337707,300,3,,
8.39893,0.035802,300,3,,
8.434546,0.0356156,300,3,,
8.470286,0.0357382,300,0,,
8.505282,0.034995798,300,0,,
8.540338,0.035053402,300,0,,
8.576249,0.03591,300,0,,
8.610539,0.0342892,300,0,,
8.644863,0.0343243,300,0,,
8.681227,0.0363649,300,0,,
8.71722,0.035993397,300,0,,
8.753057,0.035836,300,0,,
8.787429,0.0343736,300,0,,
8.821366,0.0339373,300,0,,
8.857832,0.0364641,300,0,,
8.896,0.0381692,300,0,,
8.93275,0.03675,300,0,,
8.969223,0.0364725,300,0,,
9.005668,0.0364447,300,0,,
9.040532,0.034862798,300,0,,
9.077305,0.0367733,300,0,,
9.112434,0.0351301,300,0,,
9.147171,0.034735702,300,0,,
9.18146,0.0342892,300,0,,
9.215755,0.0342947,300,0,,
9.250786,0.0350307,300,0,,
9.285182,0.0343956,300,0,,
9.320253,0.0350728,300,0,,
9.355488,0.0352348,300,0,,
9.389087,0.033599198,300,0,,
9.423317,0.03423,300,0,,
